MonthYear,MedianWaitweeks,Percentile92weeks,NoWithin18Weeks,NoWithin18WeeksWithEstimatesForMissingData,Within18WeeksPercentage,NoOver18Weeks,NoOver18WeeksWithEstimatesForMissingData,No52Weeks,No52WeeksWithEstimatesForMissingData,Over52WeekPercentage,No78Weeks,No78WeeksWithEstimatesForMissingData,No104Weeks,No104WeeksWithEstimatesForMissingData,TotalWaitingmil,TotalWaitingmilWithEstimatesForMissingData,MedianWaitweeks1,thPercentileweeks,NoWithin18Weeks1,No52Weeks1,NoOfPathwaysall,NoOfPathwaysallWithEstimatesForMissingData,MedianWaitweeks2,thPercentileweeks1,NoWithin18Weeks2,No52Weeks2,NoOfPathwaysall1,NoOfPathwaysallWithEstimatesForMissingData1,NoOfNewRTTPeriods,NoOfNewRTTPeriodsWithEstimatesForMissingData,VarName34,MedianWaitweeks3,thPercentileweeks2,NoWithin18Weeks3,No52Weeks3,NoOfPathwaysall2
01-Apr-2011,6.00651976587687,19.8975305537394,2237539,2265770,0.904538582193331,236141,244220,13434,14970,0.00543077520131949,NaN,NaN,NaN,NaN,2473680,2509990,7.92906742026645,25.1667806267806,229022,634,263604,263604,3.70280824621934,14.6740079365079,727165,881,746527,690493,NaN,NaN,NaN,7.67195662498021,22.9305013192612,238025,408,263856
01-May-2011,6.13289956190167,18.8264200930233,2318419,2346650,0.91127019427222,225743,233822,12536,14072,0.00492735918546067,NaN,NaN,NaN,NaN,2544162,2580472,8.71164431898377,25.8144347404173,261825,811,298551,298551,4.45291769594451,15.2063135420903,854969,1188,875922,813662,NaN,NaN,NaN,8.44066792163425,23.6989757412399,270375,536,298605
01-Jun-2011,5.64729551341887,18.846684330053,2324293,2343270,0.911230162463932,226427,227644,13257,13261,0.00519735604064735,NaN,NaN,NaN,NaN,2550720,2570914,9.03374505529991,25.6361895794099,279566,1039,322060,322060,4.05071922007237,15.5709428749666,913606,1129,937234,868748,NaN,NaN,NaN,8.68152408339324,23.1028331257783,289621,718,321769
01-Jul-2011,5.7630119583529,19.4731207464795,2364495,2364495,0.905275687563029,247411,247411,19937,19937,0.0076331230909535,NaN,NaN,NaN,NaN,2611906,2611906,8.52489931846345,24.5962036623492,261519,874,301063,301063,3.9242021488261,15.7788328888071,830654,1155,853392,788019,NaN,NaN,NaN,8.18295463181093,22.4919278660369,273206,601,302142
01-Aug-2011,6.1742209631728,19.7459959223473,2369340,2369340,0.906058054346504,245658,245658,19938,19938,0.00762448001872277,NaN,NaN,NaN,NaN,2614998,2614998,8.51108621755253,24.9672701286327,259814,1031,300371,300371,4.1233397975979,15.6533843500754,852011,1044,876453,807967,NaN,NaN,NaN,8.14105191256831,22.6143578947368,271774,759,301190
01-Sep-2011,6.03960243545966,19.3239866731676,2353826,2353826,0.906228103001939,243562,243562,20097,20097,0.00773738848412328,NaN,NaN,NaN,NaN,2597388,2597388,9.1852943488171,25.4054562127464,269559,1094,311714,311714,4.45967550522175,16.0247076158026,883768,1132,909628,841142,NaN,NaN,NaN,8.75715854998169,22.8000655594406,282039,770,311536
01-Oct-2011,5.73142175822258,19.0322425773847,2333475,2333475,0.908849252484416,234030,234030,11132,11132,0.00433572670744556,NaN,NaN,NaN,NaN,2567505,2567505,8.84153961509623,24.9801292861158,265918,956,305256,305256,3.94647360221012,16.0882193110141,858427,1064,884190,818817,NaN,NaN,NaN,8.42137958854377,22.0357456140351,278253,657,305722
01-Nov-2011,5.72484913664336,18.7145232963674,2282411,2282411,0.912708476543177,218290,218290,7324,7324,0.00292877877043277,NaN,NaN,NaN,NaN,2500701,2500701,8.41433681290605,24.4757078651685,285445,958,326562,326562,4.01429514933588,16.1451437847866,913445,1184,942033,873547,NaN,NaN,NaN,8.11378696116851,22.0933626465662,296984,654,326551
01-Dec-2011,6.31405031446541,18.619610270718,2180122,2205853,0.914040937518736,205025,209277,6071,6315,0.00254533578014269,NaN,NaN,NaN,NaN,2385147,2415130,8.06079480656198,24.0589913544668,237293,754,268726,272125.090909091,3.7967461669506,15.7443812668134,745171,998,767118,714132.545454545,NaN,NaN,NaN,7.76383243467441,21.8780722326454,245777,548,269130
01-Jan-2012,5.93105104637275,17.8537202354542,2174872,2200603,0.922096687209787,183744,187996,5898,6142,0.00250061900707873,NaN,NaN,NaN,NaN,2358616,2388599,9.17143868481082,24.6720995772663,264050,861,302633,306202.045454545,4.41738098948863,16.0836403684421,854407,1133,880567,824932.272727273,NaN,NaN,NaN,8.76659683594596,22.0846392737697,276324,580,303148
